D-trans-longitudinal [um^2/sec],D-trans-transversal [um^2/sec],D-rot-longitudinal [rad^2/sec],D-rot-transversal [rad^2/sec],D-TransRot-longitudinal [um x rad/sec],Efficiency [%]
0.09010437322527784,3.026269e-02,9.707852e-01,5.925920e-03,1.976069e-02,2.029819e-01
0.060115299392105366,3.046471e-02,2.913244e-01,9.127237e-03,1.946303e-02,1.804123e-01
0.0450035050894059,3.321013e-02,8.194983e-01,4.913650e-03,1.770632e-02,1.539653e-01
0.06308564582829432,3.036221e-02,5.690118e-01,4.203643e-03,1.050204e-02,1.326635e-01
0.053673915606634225,4.652398e-02,4.917973e-01,6.071944e-03,2.245275e-02,2.291318e-01
0.08521127941170623,3.512503e-02,1.024780e+00,8.519427e-03,1.339766e-02,1.070816e-01
0.07789935519331012,3.159475e-02,3.294617e-01,1.029063e-02,7.027915e-03,2.785723e-02
0.06325267218541875,3.102175e-02,1.131169e+00,6.504667e-03,1.049605e-02,5.313305e-02
0.050312583684719574,2.246933e-02,8.731918e-01,9.034268e-03,2.977572e-03,1.512207e-02
0.04258480813731665,2.694882e-02,5.337542e-01,8.622084e-03,1.024845e-02,6.351533e-02
