lag time [sec], MSD-longitudinal [um^2],MSD-transverse [um^2],MSAD-longitudinal [rad^2], MSAD-transverse [rad^2],MLAD [um x rad]
0.075,3.892659e-02,9.211006e-03,0.000000e+00,0.000000e+00,-1.565084e-03
0.15,5.826889e-02,1.774502e-02,2.959148e-01,2.548775e-03,-6.811976e-03
0.22499999999999998,8.145198e-02,2.665928e-02,3.431591e-01,5.069288e-03,2.509808e-03
0.3,1.048253e-01,3.635433e-02,5.048532e-01,7.747494e-03,5.038184e-03
0.375,1.187158e-01,4.631533e-02,5.535142e-01,1.052695e-02,9.304999e-03
0.44999999999999996,1.365500e-01,5.637445e-02,6.681282e-01,1.333184e-02,1.789253e-02
0.525,1.482056e-01,6.441597e-02,7.568417e-01,1.614683e-02,2.232561e-02
0.6,1.614800e-01,7.243716e-02,8.828742e-01,1.897138e-02,2.119057e-02
0.6749999999999999,1.792322e-01,8.036034e-02,1.008338e+00,2.207999e-02,1.590799e-02
0.75,1.863001e-01,8.808973e-02,1.100420e+00,2.528366e-02,1.225118e-02
0.825,1.908870e-01,9.507715e-02,1.208013e+00,2.832329e-02,3.180625e-03
0.8999999999999999,1.983317e-01,1.028033e-01,1.325034e+00,3.125153e-02,3.254009e-04
0.975,2.038992e-01,1.094570e-01,1.401153e+00,3.397941e-02,3.626075e-03
1.05,2.140845e-01,1.178827e-01,1.537467e+00,3.645393e-02,1.485083e-02
1.125,2.182165e-01,1.258138e-01,1.639809e+00,3.867155e-02,3.147257e-02
1.2,2.251512e-01,1.332694e-01,1.738544e+00,4.096532e-02,4.033440e-02
1.275,2.320468e-01,1.401657e-01,1.867694e+00,4.306263e-02,4.565959e-02
1.3499999999999999,2.374846e-01,1.462672e-01,1.990930e+00,4.493734e-02,4.204349e-02
1.425,2.442645e-01,1.526500e-01,2.147911e+00,4.679070e-02,4.531479e-02
1.5,2.534086e-01,1.595272e-01,2.229503e+00,4.858314e-02,5.526415e-02
1.575,2.636543e-01,1.656618e-01,2.391324e+00,5.012965e-02,6.090535e-02
1.65,2.732694e-01,1.721409e-01,2.501622e+00,5.203745e-02,7.046832e-02
1.7249999999999999,2.822180e-01,1.795320e-01,2.618975e+00,5.373207e-02,6.789318e-02
1.7999999999999998,2.935825e-01,1.878370e-01,2.714422e+00,5.570667e-02,7.019633e-02
1.875,2.984823e-01,1.973338e-01,2.820438e+00,5.768367e-02,7.100616e-02
1.95,2.994887e-01,2.060148e-01,2.898581e+00,5.964793e-02,8.199358e-02
2.025,3.011257e-01,2.152707e-01,2.981769e+00,6.178336e-02,9.807825e-02
2.1,3.033195e-01,2.247239e-01,3.073482e+00,6.383058e-02,1.065058e-01
2.175,3.108925e-01,2.347832e-01,3.198944e+00,6.531913e-02,1.034501e-01
2.25,3.177518e-01,2.447642e-01,3.319153e+00,6.679843e-02,1.051404e-01
2.3249999999999997,3.260966e-01,2.552251e-01,3.433891e+00,6.863992e-02,1.215321e-01
2.4,3.352462e-01,2.664206e-01,3.496198e+00,7.033591e-02,1.185056e-01
2.475,3.413374e-01,2.776294e-01,3.590917e+00,7.195836e-02,1.488551e-01
2.55,3.524828e-01,2.879679e-01,3.688893e+00,7.366776e-02,1.714679e-01
2.625,3.658563e-01,2.994378e-01,3.795424e+00,7.565356e-02,1.930456e-01
2.6999999999999997,3.776217e-01,3.101171e-01,3.885293e+00,7.824401e-02,2.060733e-01
2.775,3.868360e-01,3.214113e-01,3.986849e+00,8.086528e-02,2.072628e-01
2.85,3.945791e-01,3.337446e-01,4.048299e+00,8.346234e-02,2.193755e-01
2.925,4.029696e-01,3.444275e-01,4.134129e+00,8.592081e-02,2.218931e-01
3.0,4.108895e-01,3.553925e-01,4.250179e+00,8.819488e-02,2.307644e-01
3.0749999999999997,4.160204e-01,3.645578e-01,4.348791e+00,9.023806e-02,2.418279e-01
3.15,4.233717e-01,3.735949e-01,4.443361e+00,9.233040e-02,2.528901e-01
3.225,4.324035e-01,3.818034e-01,4.497565e+00,9.435379e-02,2.608393e-01
3.3,4.400370e-01,3.901792e-01,4.590937e+00,9.675385e-02,2.648275e-01
3.375,4.514653e-01,3.991613e-01,4.645127e+00,9.918298e-02,2.649617e-01
3.4499999999999997,4.683041e-01,4.088622e-01,4.809641e+00,1.014629e-01,2.816390e-01
3.525,4.802056e-01,4.193889e-01,4.864406e+00,1.037991e-01,2.915774e-01
3.5999999999999996,4.905879e-01,4.298271e-01,5.009286e+00,1.062351e-01,2.931469e-01
3.675,4.991134e-01,4.392048e-01,5.056664e+00,1.090058e-01,2.857490e-01
3.75,5.061462e-01,4.496332e-01,5.123540e+00,1.117972e-01,3.012823e-01
